step,loss
0,4.418537616729736
1,4.408581733703613
2,4.408248424530029
3,4.408249855041504
4,4.408233165740967
5,4.408222675323486
6,4.408229351043701
7,4.408229351043701
8,4.408226013183594
9,4.4082231521606445
10,4.408230304718018
11,4.4082231521606445
12,4.408226013183594
13,4.408230304718018
14,4.408230304718018
15,4.408222675323486
16,4.408222675323486
17,4.408230304718018
18,4.4082231521606445
19,4.408234119415283
20,4.408230304718018
21,4.408230304718018
22,4.408211708068848
23,4.40821647644043
24,4.4082231521606445
25,4.4082231521606445
26,4.408230304718018
27,4.408225059509277
28,4.408230304718018
29,4.408222675323486
30,4.408218860626221
31,4.408212661743164
32,4.408217906951904
33,4.408203601837158
34,4.408229351043701
35,4.408226490020752
36,4.40821647644043
37,4.408222675323486
38,4.408229827880859
39,4.40820837020874
40,4.408229827880859
41,4.408228874206543
42,4.4082136154174805
43,4.408226490020752
44,4.4082231521606445
45,4.408210277557373
46,4.4082183837890625
47,4.408229351043701
48,4.408215045928955
49,4.408216953277588
50,4.408233642578125
51,4.408212661743164
52,4.408214092254639
53,4.408226490020752
54,4.408229351043701
55,4.408203125
56,4.408247470855713
57,4.408214092254639
58,4.408230781555176
59,4.408229351043701
60,4.408212661743164
61,4.408230781555176
62,4.408229351043701
63,4.408238887786865
64,4.408225059509277
65,4.408222675323486
66,4.408230304718018
67,4.4082112312316895
68,4.408224105834961
69,4.4082231521606445
70,4.408206462860107
71,4.408212661743164
72,4.4082207679748535
73,4.4082112312316895
74,4.408216953277588
75,4.408226013183594
76,4.40821647644043
77,4.408224105834961
78,4.408190727233887
79,4.408217906951904
80,4.408227443695068
81,4.408226490020752
82,4.4082159996032715
83,4.408199310302734
84,4.408219814300537
85,4.408246040344238
86,4.408219337463379
87,4.408219814300537
88,4.40823221206665
89,4.408228397369385
90,4.408194065093994
91,4.4081950187683105
92,4.40822172164917
93,4.408253192901611
94,4.408229351043701
95,4.4081950187683105
96,4.408246994018555
97,4.408233642578125
98,4.408210754394531
99,4.408207416534424
