num_particles,mse,b_est
1000,138.1450731818495,48023.8084867728
2000,46.90183567808864,48028.713508510766
3000,138130370.93442082,59788.44977000873
4000,282815.37597158365,48567.36588863902
5000,36.72323775261202,48029.50202988847
6000,149.18780609634885,48047.77624603061
7000,115.52438407388458,48046.31022702002
8000,154.27221414101191,48047.98263662382
9000,38.43895703396009,48029.36208411073
10000,233176.05399605917,48518.44506451568
11000,148.39811670433787,48023.38012343256
12000,5.8476665531904795,48033.14380510438
13000,3.8784265133102913,48033.59262788856
14000,40.76348795225384,48041.94662903795
15000,12.552527709351892,48039.1049546581
16000,91.87587903114228,48045.147190610056
17000,139.27641692825983,48023.7604570107
18000,274099.8530976922,48559.1074642127
19000,214962.32110804986,48499.20229280041
20000,0.13038791127696325,48035.20090733699
21000,0.19894923381684282,48036.008037256084
22000,407.2421171079556,48055.74224075941
23000,13.423194838414819,48039.22576784723
24000,110.36088070704444,48025.05672129322
25000,9.730251487631724,48038.68133510345
26000,51.09284202193694,48028.41407428536
27000,341.2543765967153,48017.08892833888
28000,75.41150412186813,48044.24597973983
29000,278975.24162553943,48563.74306897686
30000,231421.6714661264,48516.62506391795
31000,112.99828344904019,48046.19206507266
32000,418.8235959030181,48056.02718008479
33000,27.601142306399147,48040.81567893065
34000,245.1184700616841,48019.90574022757
35000,7.661093433155272,48032.7941319697
36000,24.879079630614488,48040.549893305855
37000,60.391190638194054,48043.33317691461
38000,89.18615846171993,48026.11815764311
39000,16.802464880229117,48031.46291902004
40000,57.88364670743459,48027.953869697
41000,0.5042392224736361,48034.85190196277
42000,228190.8926448329,48513.25530395645
43000,44.77890960971624,48042.25370453694
44000,260.4214424077421,48019.424421420554
45000,27.177644095094163,48030.348781790955
46000,27.23533154382771,48040.78074808204
47000,51.301545302335434,48042.72450970696
48000,616.2291869647921,48010.73803603441
49000,426.3752475041684,48014.913144159924
50000,48.44110718229199,48042.52196459634
51000,35.20212552940627,48029.62886208407
52000,55.510631557025576,48028.1114542779
53000,236155.59510304223,48521.52042939807
54000,17.12122154439802,48031.42422021557
55000,3.945939576333331,48033.57556108165
56000,46.15058129509962,48042.35542191352
57000,176.40095222648108,48048.84360202033
58000,469.5704513441698,48057.231574323094
59000,114.48524718191153,48046.26177790339
60000,645.1169367691377,48060.96115228446
61000,31.428468643901205,48029.95589006138
62000,107.88716004334846,48025.17512558835
63000,15.915552230212246,48039.55143006333
64000,6.776778134751077,48038.16522456479
65000,3.516593020591781,48037.437258121055
66000,274.3198007615649,48052.1246024755
67000,61.315570350251946,48043.392425936705
68000,0.6222661183643862,48034.773161538484
69000,17.35681971092468,48039.728151666815
70000,1.1972963023677377,48036.65621035563
71000,46.597970087805685,48028.735729415865
72000,232.29249144378772,48050.80314468942
73000,288566.4709636866,48572.745833490626
74000,7.9098120361162545,48032.74956119424
75000,262.376937860062,48051.76005352072
76000,945559.1458259494,49007.960655812494
77000,133.6569909596521,48024.00098832456
78000,224.85238206451274,48050.55707859481
79000,193.44070723061327,48049.47029634537
80000,193.55227859360343,48049.47430673158
81000,43.63670137057085,48042.167808154234
82000,268457.9284520893,48553.691258440485
83000,5.067344816387069,48037.8130763684
84000,265009.082020299,48550.35232821169
85000,114.35701855177737,48024.868215891845
86000,288.9997466538453,48018.56200745136
87000,204.52122223703165,48021.260908355056
88000,50.76470554981599,48042.686935476886
89000,18.35661664852137,48039.846462235626
90000,138.70077845253397,48047.33912946573
91000,138.93158518466942,48047.348924330996
92000,4.189841895807247,48033.51508967079
93000,0.009302965749791814,48035.46554811692
94000,51.87499905346817,48042.76443007973
95000,35.394481667331355,48029.61267384762
96000,18.20120351402555,48031.29571314677
97000,29.9404731239313,48041.03378884131
98000,156.77779378952692,48048.083093953384
99000,77.28769935490094,48044.3533422954
100000,29.890107905291597,48041.02918464159
